epoch,loss,val_loss
0,0.0003984724753536284,0.00023861171212047338
1,0.0002453044871799648,0.0001814628194551915
2,0.00021309198928065598,0.00016161100938916206
3,0.00019705014710780233,0.00015178015746641904
4,0.00018650184210855514,0.00014906407159287483
5,0.00017940528050530702,0.00014302080671768636
6,0.00017355947056785226,0.00013377396680880338
7,0.0001683802984189242,0.0001259812415810302
8,0.00016421180043835193,0.00012640637578442693
9,0.0001610704348422587,0.00012299024092499167
10,0.0001580672978889197,0.00012189052358735353
11,0.00015542167238891125,0.00012654006422962993
12,0.00015311644528992474,0.00011854954209411517
13,0.00013790155935566872,0.00010610777098918334
14,0.0001349860249320045,0.00010311335063306615
15,0.00013318585115484893,0.00010072282748296857
16,0.00013192092592362314,0.00010035902232630178
17,0.000130503045511432,9.987915109377354e-05
18,0.0001297906565014273,9.939145093085244e-05
19,0.00012987251102458686,9.891553781926632e-05
20,0.00012957023864146322,9.891779336612672e-05
21,0.00012973422417417169,9.894361573969945e-05
